Patch width,Patch length,Substrate width,Substrate length,Frequency
7.6,5.19,17.2,14.79,12
7.6,5.18,17.2,14.78,12.01
7.59,5.18,17.19,14.78,12.02
7.58,5.17,17.18,14.77,12.03
7.58,5.17,17.18,14.77,12.04
7.57,5.16,17.17,14.76,12.05
7.56,5.16,17.16,14.76,12.06
7.56,5.15,17.16,14.75,12.07
7.56,5.15,17.16,14.75,12.08
7.55,5.15,17.15,14.75,12.09
7.55,5.14,17.15,14.74,12.1
7.53,5.13,17.13,14.73,12.11
7.53,5.13,17.13,14.73,12.12
7.52,5.12,17.12,14.72,12.13
7.51,5.12,17.11,14.72,12.14
7.51,5.11,17.11,14.71,12.15
7.5,5.1,17.1,14.7,12.16
7.5,5.1,17.1,14.7,12.17
7.49,5.1,17.09,14.7,12.18
7.48,5.09,17.08,14.69,12.19
7.48,5.09,17.08,14.69,12.2
7.47,5.08,17.07,14.68,12.21
7.47,5.08,17.07,14.68,12.22
7.46,5.07,17.06,14.67,12.23
7.45,5.07,17.05,14.66,12.24
7.45,5.06,17.05,14.65,12.25
7.44,5.06,17.04,14.65,12.26
7.43,5.05,17.03,14.64,12.27
7.43,5.05,17.03,14.64,12.28
7.42,5.04,17.02,14.63,12.29
7.42,5.04,17.02,14.63,12.3
7.41,5.03,17.01,14.62,12.31
7.4,5.03,17,14.62,12.32
7.4,5.02,17,14.61,12.33
7.39,5.02,16.99,14.61,12.34
7.39,5.01,16.99,14.61,12.35
7.38,5.01,16.98,14.61,12.36
7.37,5,16.97,14.6,12.37
7.37,5,16.97,14.6,12.38
7.36,4.99,16.96,14.59,12.39
7.36,4.99,16.96,14.59,12.4
7.35,4.98,16.95,14.58,12.41
7.35,4.98,16.95,14.58,12.42
7.34,4.97,16.94,14.57,12.43
7.33,4.97,16.93,14.57,12.44
7.33,4.96,16.93,14.56,12.45
7.32,4.96,16.92,14.56,12.46
7.32,4.96,16.92,14.56,12.47
7.31,4.95,16.91,14.55,12.48
7.3,4.95,16.9,14.55,12.49
7.3,4.94,16.9,14.54,12.5
7.29,4.94,16.89,14.54,12.51
7.29,4.93,16.89,14.53,12.52
7.28,4.93,16.88,14.53,12.53
7.27,4.92,16.87,14.52,12.54
7.27,4.92,16.87,14.52,12.55
7.26,4.91,16.86,14.51,12.56
7.26,4.91,16.86,14.51,12.57
7.25,4.9,16.85,14.5,12.58
7.25,4.9,16.85,14.5,12.59
7.24,4.89,16.84,14.49,12.6
7.23,4.89,16.83,14.49,12.61
7.23,4.88,16.83,14.48,12.62
7.22,4.88,16.82,14.48,12.63
7.22,4.88,16.82,14.48,12.64
7.21,4.87,16.81,14.47,12.65
7.21,4.87,16.81,14.47,12.66
7.2,4.86,16.8,14.46,12.67
7.19,4.86,16.79,14.46,12.68
7.19,4.85,16.79,14.46,12.69
7.18,4.85,16.78,14.45,12.7
7.18,4.84,16.78,14.45,12.71
7.17,4.84,16.66,14.44,12.72
7.17,4.83,16.77,14.43,12.73
7.16,4.83,16.76,14.43,12.74
7.15,4.82,16.75,14.42,12.75
7.15,4.82,16.75,14.42,12.76
7.14,4.82,16.74,14.42,12.77
7.14,4.81,16.74,14.41,12.78
7.13,4.81,16.73,14.41,12.79
7.13,4.8,16.73,14.4,12.8
7.12,4.8,16.72,14.4,12.81
7.12,4.79,16.72,14.39,12.82
7.11,4.79,16.71,14.39,12.83
7.1,4.78,16.7,14.38,12.84
7.1,4.78,16.7,14.38,12.85
7.09,4.77,16.69,14.37,12.86
7.09,4.77,16.69,14.37,12.87
7.08,4.77,16.68,14.37,12.88
7.08,4.76,16.68,14.36,12.89
7.07,4.76,16.67,14.36,12.9
7.07,4.75,16.67,14.35,12.91
7.06,4.75,16.66,14.35,12.92
7.06,4.75,16.66,14.35,12.93
7.05,4.74,16.65,14.34,12.94
7.04,4.73,16.64,14.33,12.95
7.04,4.73,16.64,14.33,12.96
7.03,4.73,16.63,14.33,12.97
7.03,4.72,16.63,14.32,12.98
7.02,4.72,16.62,14.32,12.99
7.02,4.71,16.62,14.31,13
